,model_name,rgb,size,train_pct,knn5_accuracy,knn5_scaled_accuracy,linear_accuracy,linear_scaled_accuracy,linear_no_penalty_accuracy
0,resnet50_pretrained_imagenet,True,224,0.005,0.6203703703703703,0.41833333333333333,0.7587037037037037,0.7374074074074074,0.7705555555555555
1,resnet50_pretrained_imagenet,True,224,0.007,0.6275925925925926,0.3262962962962963,0.7948148148148149,0.7707407407407407,0.8053703703703704
2,resnet50_pretrained_imagenet,True,224,0.009,0.7155555555555555,0.4338888888888889,0.8492592592592593,0.8398148148148148,0.8383333333333334
3,resnet50_pretrained_imagenet,True,224,0.01,0.7459259259259259,0.44722222222222224,0.8472222222222222,0.8298148148148148,0.832037037037037
4,resnet50_pretrained_imagenet,True,224,0.03,0.8038888888888889,0.5990740740740741,0.9053703703703704,0.9024074074074074,0.8825925925925926
5,resnet50_pretrained_imagenet,True,224,0.05,0.8192592592592592,0.6196296296296296,0.9172222222222223,0.9161111111111111,0.904074074074074
6,resnet50_pretrained_imagenet,True,224,0.1,0.855925925925926,0.707962962962963,0.9337037037037037,0.932962962962963,0.9135185185185185
7,resnet50_pretrained_imagenet,True,224,0.2,0.8701851851851852,0.7609259259259259,0.9477777777777778,0.9431481481481482,0.9403703703703704
8,resnet50_pretrained_imagenet,True,224,0.5,0.8998148148148148,0.7966666666666666,0.9561111111111111,0.950925925925926,0.947037037037037
9,resnet50_pretrained_imagenet,True,224,1.0,0.9135185185185185,0.8307407407407408,0.9644444444444444,0.955,0.957962962962963
10,resnet50_pretrained_seco,True,224,0.005,0.53,0.5735185185185185,0.6896296296296296,0.7066666666666667,0.6714814814814815
11,resnet50_pretrained_seco,True,224,0.007,0.5646296296296296,0.6187037037037038,0.7018518518518518,0.7290740740740741,0.7081481481481482
12,resnet50_pretrained_seco,True,224,0.009,0.5992592592592593,0.6135185185185185,0.7666666666666667,0.7525925925925926,0.7329629629629629
13,resnet50_pretrained_seco,True,224,0.01,0.6311111111111111,0.6548148148148148,0.7685185185185185,0.7781481481481481,0.7381481481481481
14,resnet50_pretrained_seco,True,224,0.03,0.6931481481481482,0.7187037037037037,0.855,0.8453703703703703,0.8311111111111111
15,resnet50_pretrained_seco,True,224,0.05,0.7075925925925926,0.7442592592592593,0.8777777777777778,0.8583333333333333,0.8538888888888889
16,resnet50_pretrained_seco,True,224,0.1,0.7744444444444445,0.8059259259259259,0.8975925925925926,0.8912962962962963,0.8701851851851852
17,resnet50_pretrained_seco,True,224,0.2,0.8046296296296296,0.8225925925925925,0.9162962962962963,0.9094444444444445,0.9122222222222223
18,resnet50_pretrained_seco,True,224,0.5,0.8448148148148148,0.8577777777777778,0.9362962962962963,0.9253703703703704,0.9266666666666666
19,resnet50_pretrained_seco,True,224,1.0,0.8622222222222222,0.875,0.9474074074074074,0.9377777777777778,0.9422222222222222
